ID Patient, Illness, Patient X, Patient Y, ID Ambulance, Ambulance Specialty, Ambulance X, Ambulance Y, Distance A→P, Availability,Accepted, Hospital ID, Hospital X,Hospital Y,Hospital Specialty,Distance,Chosen Hospital
p1,blood,87,34,a15,heart,60,75,49,true,No,h70,53,77,blood,54,No
p1,blood,87,34,a95,bones,87,87,53,true,No,h83,31,98,heart,85,No
p1,blood,87,34,a69,bones,92,44,11,true,No,h95,95,9,bones,26,No
p1,blood,87,34,a83,heart,34,76,67,true,No,h71,61,94,blood,65,No
p1,blood,87,34,a45,heart,67,21,23,true,No,h73,46,23,heart,42,No
p1,blood,87,34,a57,heart,91,13,21,true,No,h85,34,40,blood,53,No
p1,blood,87,34,a33,blood,58,95,67,true,No,h97,88,56,heart,22,No
p1,blood,87,34,a21,brain,37,15,53,true,No,h1,84,58,heart,24,No
p1,blood,87,34,a49,brain,21,10,70,true,No,h2,6,23,blood,81,No
p1,blood,87,34,a37,heart,87,47,13,true,No,h61,100,33,brain,13,No
p1,blood,87,34,a61,heart,69,6,33,true,No,h50,100,49,blood,19,No
p1,blood,87,34,a13,heart,28,6,65,true,No,h62,11,79,heart,88,No
p1,blood,87,34,a73,bones,17,2,76,true,No,h78,96,95,bones,61,No
p1,blood,87,34,a25,blood,61,59,36,true,No,h91,9,18,blood,79,No
p1,blood,87,34,a85,heart,94,20,15,true,No,h66,67,49,brain,25,No
p1,blood,87,34,a97,brain,8,93,98,true,No,h30,73,100,blood,67,No
p1,blood,87,34,a8,heart,36,100,83,true,No,h54,21,12,blood,69,No
p1,blood,87,34,a87,bones,5,89,98,true,No,h42,57,88,heart,61,No
p1,blood,87,34,a99,bones,33,27,54,true,No,h58,21,39,blood,66,No
p1,blood,87,34,a75,heart,4,63,87,true,No,h46,90,6,blood,28,No
p1,blood,87,34,a6,brain,31,56,60,true,No,h10,88,67,bones,33,No
p1,blood,87,34,a63,blood,7,5,85,true,No,h34,63,39,brain,24,No
p1,blood,87,34,a89,bones,30,31,57,true,No,h36,33,51,heart,56,No
p1,blood,87,34,a4,heart,15,61,76,true,No,h48,80,75,bones,41,No
p1,blood,87,34,a77,bones,28,51,61,true,No,h22,70,25,brain,19,No
p1,blood,87,34,a100,blood,25,7,67,true,No,h38,28,37,brain,59,No
p1,blood,87,34,a65,brain,67,75,45,true,No,h24,51,2,blood,48,No
p1,blood,87,34,a53,brain,45,75,58,true,No,h12,20,61,heart,72,No
p1,blood,87,34,a2,blood,81,80,46,true,No,h26,27,58,bones,64,No
p1,blood,87,34,a67,heart,29,54,61,true,No,h14,2,3,blood,90,No
p1,blood,87,34,a41,bones,8,81,91,true,No,h28,52,11,heart,41,No
p1,blood,87,34,a55,blood,55,82,57,true,No,h18,58,34,blood,29,No
p1,blood,87,34,a79,bones,49,50,41,true,No,h16,84,55,blood,21,No
p2,heart,66,22,a47,brain,81,56,37,true,No,h35,56,37,brain,18,No
p2,heart,66,22,a26,brain,55,12,14,true,No,h23,36,47,brain,39,No
p2,heart,66,22,a28,brain,7,22,59,true,No,h47,79,62,blood,42,No
p2,heart,66,22,a24,bones,10,4,58,true,No,h59,31,38,bones,38,No
p2,heart,66,22,a32,bones,22,25,44,true,No,h93,9,89,brain,87,No
p2,heart,66,22,a62,brain,41,64,48,true,No,h11,7,26,brain,59,No
p2,heart,66,22,a93,brain,33,100,84,true,No,h81,64,61,brain,39,No
p2,heart,66,22,a56,brain,62,68,46,true,No,h68,3,85,heart,89,No
p2,heart,66,22,a20,brain,90,2,31,true,No,h56,45,76,blood,57,No
p2,heart,66,22,a90,bones,86,18,20,true,No,h20,86,3,bones,27,No
p2,heart,66,22,a84,bones,75,31,12,true,No,h44,85,39,blood,25,No
p2,heart,66,22,a70,blood,90,18,24,true,No,h32,18,10,brain,49,No
p2,heart,66,22,a9,blood,45,1,29,true,No,h90,57,2,bones,21,No
p2,heart,66,22,a48,heart,42,3,30,true,No,h6,82,96,blood,75,No
p2,heart,66,22,a19,heart,35,60,49,true,No,h89,3,75,bones,82,No
p2,heart,66,22,a5,blood,96,5,34,true,No,h96,97,45,blood,38,No
p2,heart,66,22,a91,brain,28,41,42,true,No,h74,97,56,blood,46,No
p2,heart,66,22,a68,brain,17,5,51,true,No,h37,1,96,blood,98,No
p2,heart,66,22,a86,heart,49,83,63,true,No,h72,72,47,blood,25,No
p2,heart,66,22,a12,bones,28,20,38,true,No,h65,33,34,blood,35,No
p2,heart,66,22,a94,blood,24,60,56,true,No,h3,94,17,heart,28,No
p2,heart,66,22,a44,bones,15,46,56,true,No,h41,1,93,bones,96,No
p2,heart,66,22,a60,brain,70,40,18,true,No,h51,70,13,heart,9,Yes
p2,heart,66,22,a38,brain,71,75,53,true,No,h98,5,53,blood,68,No
p2,heart,66,22,a74,brain,4,34,63,true,No,h84,43,39,heart,28,No
p2,heart,66,22,a29,heart,14,29,52,true,No,h13,5,13,blood,61,No
p2,heart,66,22,a17,blood,22,28,44,true,No,h86,100,72,bones,60,No
p2,heart,66,22,a14,blood,3,97,97,true,No,h49,7,35,brain,60,No
p2,heart,66,22,a59,brain,2,44,67,true,No,h87,50,73,blood,53,No
p2,heart,66,22,a82,blood,38,84,68,true,No,h25,21,27,bones,45,No
p2,heart,66,22,a72,blood,69,13,9,true,No,h77,31,70,bones,59,No
p2,heart,66,22,a36,blood,91,81,64,true,No,h53,82,87,brain,66,No
p2,heart,66,22,a81,brain,33,84,70,true,No,h63,13,53,heart,61,No
p2,heart,66,22,a50,brain,36,28,30,true,No,h60,42,95,blood,76,No
p2,heart,66,22,a35,bones,79,5,21,true,No,h99,53,69,heart,48,No
p2,heart,66,22,a16,heart,7,40,61,true,No,h5,74,83,heart,61,No
p2,heart,66,22,a23,bones,84,33,21,true,No,h8,37,94,blood,77,No
p2,heart,66,22,a51,brain,53,8,19,true,No,h33,89,9,brain,26,No
p2,heart,66,22,a11,bones,64,48,26,true,No,h75,66,45,heart,23,No
p2,heart,66,22,a96,blood,29,39,40,true,No,h45,59,39,brain,18,No
p2,heart,66,22,a3,bones,58,48,27,true,No,h9,38,67,heart,53,No
p2,heart,66,22,a64,bones,59,76,54,true,No,h21,58,96,blood,74,No
p2,heart,66,22,a66,heart,53,6,20,true,No,h57,32,68,heart,57,No
p2,heart,66,22,a52,brain,59,9,14,true,No,h69,87,1,brain,29,No
p2,heart,66,22,a78,heart,15,76,74,true,No,h19,51,17,heart,15,No
p2,heart,66,22,a46,blood,10,36,57,true,No,h15,64,15,blood,7,No
p2,heart,66,22,a22,bones,67,66,44,true,No,h29,55,14,bones,13,No
p2,heart,66,22,a40,bones,29,90,77,true,No,h17,12,72,bones,73,No
p2,heart,66,22,a58,heart,74,9,15,true,No,h27,26,89,heart,78,No
p2,heart,66,22,a76,heart,70,68,46,true,No,h39,86,17,heart,20,No
p2,heart,66,22,a34,bones,100,28,34,true,No,h76,16,64,heart,65,No
p2,heart,66,22,a54,blood,76,61,40,true,No,h64,45,80,bones,61,No
p2,heart,66,22,a1,brain,72,84,62,true,No,h7,49,14,blood,18,No
p2,heart,66,22,a42,blood,85,16,19,true,No,h88,2,12,brain,64,No
p2,heart,66,22,a30,blood,36,71,57,true,No,h40,12,34,blood,55,No
p2,heart,66,22,a31,bones,57,31,12,true,No,h52,56,95,heart,73,No
p2,heart,66,22,a43,heart,51,54,35,true,No,h43,87,70,heart,52,No
p2,heart,66,22,a92,blood,20,71,67,true,No,h31,58,55,brain,33,No
p2,heart,66,22,a7,heart,27,21,39,true,No,h67,78,42,heart,23,No
p2,heart,66,22,a80,brain,57,40,20,true,No,h100,84,9,brain,22,No
p2,heart,66,22,a18,heart,100,91,76,true,No,h4,24,86,bones,76,No
p2,heart,66,22,a98,bones,58,37,17,true,No,h92,31,11,heart,36,No
p2,heart,66,22,a39,brain,49,66,47,true,No,h80,73,60,blood,38,No
p2,heart,66,22,a71,bones,18,37,50,true,No,h79,89,97,bones,78,No
p2,heart,66,22,a69,bones,92,44,34,true,No,h94,10,87,bones,85,No
p2,heart,66,22,a33,blood,58,95,73,true,No,h82,46,6,heart,25,No
p2,heart,66,22,a37,heart,87,47,32,true,No,h70,53,77,blood,56,No
p2,heart,66,22,a10,brain,19,17,47,true,No,h83,31,98,heart,83,No
p2,heart,66,22,a49,brain,21,10,46,true,No,h95,95,9,bones,31,No
p2,heart,66,22,a15,heart,60,75,53,true,No,h71,61,94,blood,72,No
p2,heart,66,22,a88,blood,96,85,69,true,No,h73,46,23,heart,20,No
p2,heart,66,22,a45,heart,67,21,1,true,Yes,h85,34,40,blood,36,No
p2,heart,66,22,a95,bones,87,87,68,true,No,h97,88,56,heart,40,No
p2,heart,66,22,a21,brain,37,15,29,true,No,h1,84,58,heart,40,No
p2,heart,66,22,a57,heart,91,13,26,true,No,h2,6,23,blood,60,No
p2,heart,66,22,a83,heart,34,76,62,true,No,h61,100,33,brain,35,No
p2,heart,66,22,a61,heart,69,6,16,true,No,h50,100,49,blood,43,No
p2,heart,66,22,a27,blood,86,20,20,false,No,h62,11,79,heart,79,No
p2,heart,66,22,a13,heart,28,6,41,true,No,h91,9,18,blood,57,No
p2,heart,66,22,a73,bones,17,2,52,true,No,h78,96,95,bones,78,No
p2,heart,66,22,a25,blood,61,59,37,true,No,h66,67,49,brain,27,No
p2,heart,66,22,a99,bones,33,27,33,true,No,h30,73,100,blood,78,No
p2,heart,66,22,a6,brain,31,56,48,true,No,h54,21,12,blood,46,No
p2,heart,66,22,a87,bones,5,89,90,true,No,h42,57,88,heart,66,No
p2,heart,66,22,a4,heart,15,61,64,true,No,h46,90,6,blood,28,No
p2,heart,66,22,a89,bones,30,31,37,true,No,h58,21,39,blood,48,No
p2,heart,66,22,a8,heart,36,100,83,true,No,h10,88,67,bones,50,No
p2,heart,66,22,a85,heart,94,20,28,true,No,h36,33,51,heart,43,No
p2,heart,66,22,a75,heart,4,63,74,true,No,h48,80,75,bones,54,No
p2,heart,66,22,a97,brain,8,93,91,true,No,h34,63,39,brain,17,No
p2,heart,66,22,a77,bones,28,51,47,true,No,h22,70,25,brain,5,No
p2,heart,66,22,a100,blood,25,7,43,true,No,h38,28,37,brain,40,No
p2,heart,66,22,a53,brain,45,75,57,true,No,h12,20,61,heart,60,No
p2,heart,66,22,a79,bones,49,50,32,true,No,h24,51,2,blood,25,No
p2,heart,66,22,a41,bones,8,81,82,true,No,h14,2,3,blood,66,No
p2,heart,66,22,a2,blood,81,80,59,true,No,h18,58,34,blood,14,No
p2,heart,66,22,a55,blood,55,82,61,true,No,h26,27,58,bones,53,No
p2,heart,66,22,a67,heart,29,54,48,true,No,h16,84,55,blood,37,No
p2,heart,66,22,a65,brain,67,75,53,true,No,h28,52,11,heart,17,No
p2,heart,66,22,a63,blood,7,5,61,true,No,h55,43,20,bones,23,No
p3,brain,83,75,a96,blood,29,39,64,true,No,h35,56,37,brain,46,No
p3,brain,83,75,a47,brain,81,56,19,true,No,h23,36,47,brain,54,No
p3,brain,83,75,a23,bones,84,33,42,true,No,h47,79,62,blood,13,No
p3,brain,83,75,a51,brain,53,8,73,true,No,h59,31,38,bones,63,No
p3,brain,83,75,a59,brain,2,44,86,true,No,h93,9,89,brain,75,No
p3,brain,83,75,a60,brain,70,40,37,true,No,h11,7,26,brain,90,No
p3,brain,83,75,a72,blood,69,13,63,true,No,h81,64,61,brain,23,No
p3,brain,83,75,a11,bones,64,48,33,true,No,h68,3,85,heart,80,No
p3,brain,83,75,a35,bones,79,5,70,true,No,h56,45,76,blood,38,No
p3,brain,83,75,a84,bones,75,31,44,true,No,h20,86,3,bones,72,No
p3,brain,83,75,a26,brain,55,12,68,true,No,h44,85,39,blood,36,No
p3,brain,83,75,a38,brain,71,75,12,true,Yes,h32,18,10,brain,91,No
p3,brain,83,75,a29,heart,14,29,82,true,No,h90,57,2,bones,77,No
p3,brain,83,75,a17,blood,22,28,77,true,No,h6,82,96,blood,21,No
p3,brain,83,75,a14,blood,3,97,82,true,No,h89,3,75,bones,80,No
p3,brain,83,75,a93,brain,33,100,55,true,No,h87,50,73,blood,33,No
p3,brain,83,75,a81,brain,33,84,50,true,No,h51,70,13,heart,63,No
p3,brain,83,75,a19,heart,35,60,50,true,No,h75,66,45,heart,34,No
p3,brain,83,75,a16,heart,7,40,83,true,No,h8,37,94,blood,49,No
p3,brain,83,75,a90,bones,86,18,57,true,No,h63,13,53,heart,73,No
p3,brain,83,75,a91,brain,28,41,64,true,No,h53,82,87,brain,12,Yes
p3,brain,83,75,a70,blood,90,18,57,true,No,h77,31,70,bones,52,No
p3,brain,83,75,a9,blood,45,1,83,true,No,h41,1,93,bones,83,No
p3,brain,83,75,a82,blood,38,84,45,true,No,h65,33,34,blood,64,No
p3,brain,83,75,a28,brain,7,22,92,true,No,h84,43,39,heart,53,No
p3,brain,83,75,a98,bones,58,37,45,true,No,h96,97,45,blood,33,No
p3,brain,83,75,a94,blood,24,60,60,true,No,h60,42,95,blood,45,No
p3,brain,83,75,a86,heart,49,83,34,true,No,h86,100,72,bones,17,No
p3,brain,83,75,a5,blood,96,5,71,true,No,h3,94,17,heart,59,No
p3,brain,83,75,a74,brain,4,34,89,true,No,h72,72,47,blood,30,No
p3,brain,83,75,a48,heart,42,3,82,true,No,h99,53,69,heart,30,No
p3,brain,83,75,a36,blood,91,81,10,true,No,h74,97,56,blood,23,No
p3,brain,83,75,a50,brain,36,28,66,true,No,h98,5,53,blood,81,No
p3,brain,83,75,a24,bones,10,4,101,true,No,h5,74,83,heart,12,No
p3,brain,83,75,a32,bones,22,25,78,true,No,h13,5,13,blood,99,No
p3,brain,83,75,a20,brain,90,2,73,true,No,h25,21,27,bones,78,No
p3,brain,83,75,a3,bones,58,48,36,true,No,h37,1,96,blood,84,No
p3,brain,83,75,a66,heart,53,6,75,true,No,h49,7,35,brain,85,No
p3,brain,83,75,a54,blood,76,61,15,true,No,h33,89,9,brain,66,No
p3,brain,83,75,a40,bones,29,90,56,true,No,h45,59,39,brain,43,No
p3,brain,83,75,a78,heart,15,76,68,true,No,h9,38,67,heart,45,No
p3,brain,83,75,a76,heart,70,68,14,true,No,h21,58,96,blood,32,No
p3,brain,83,75,a34,bones,100,28,49,true,No,h57,32,68,heart,51,No
p3,brain,83,75,a58,heart,74,9,66,true,No,h69,87,1,brain,74,No
p3,brain,83,75,a44,bones,15,46,73,true,No,h19,51,17,heart,66,No
p3,brain,83,75,a56,brain,62,68,22,true,No,h15,64,15,blood,62,No
p3,brain,83,75,a68,brain,17,5,96,true,No,h29,55,14,bones,67,No
p3,brain,83,75,a64,bones,59,76,24,true,No,h17,12,72,bones,71,No
p3,brain,83,75,a52,brain,59,9,70,true,No,h27,26,89,heart,58,No
p3,brain,83,75,a12,bones,28,20,77,true,No,h39,86,17,heart,58,No
p3,brain,83,75,a46,blood,10,36,82,true,No,h76,16,64,heart,67,No
p3,brain,83,75,a22,bones,67,66,18,true,No,h7,49,14,blood,69,No
p3,brain,83,75,a62,brain,41,64,43,true,No,h64,45,80,bones,38,No
p3,brain,83,75,a1,brain,72,84,14,true,No,h88,2,12,brain,102,No
p3,brain,83,75,a92,blood,20,71,63,true,No,h40,12,34,blood,81,No
p3,brain,83,75,a30,blood,36,71,47,true,No,h52,56,95,heart,33,No
p3,brain,83,75,a43,heart,51,54,38,true,No,h43,87,70,heart,6,No
p3,brain,83,75,a88,blood,96,85,16,true,No,h31,58,55,brain,32,No
p3,brain,83,75,a31,bones,57,31,51,true,No,h67,78,42,heart,33,No
p3,brain,83,75,a42,blood,85,16,59,true,No,h55,43,20,bones,68,No
p3,brain,83,75,a80,brain,57,40,43,true,No,h100,84,9,brain,66,No
p3,brain,83,75,a7,heart,27,21,77,true,No,h4,24,86,bones,60,No
p3,brain,83,75,a18,heart,100,91,23,true,No,h92,31,11,heart,82,No
p3,brain,83,75,a39,brain,49,66,35,true,No,h80,73,60,blood,18,No
p3,brain,83,75,a83,heart,34,76,49,true,No,h79,89,97,bones,22,No
p3,brain,83,75,a71,bones,18,37,75,true,No,h94,10,87,bones,73,No
p3,brain,83,75,a95,bones,87,87,12,true,No,h70,53,77,blood,30,No
p3,brain,83,75,a10,brain,19,17,86,true,No,h95,95,9,bones,67,No
p3,brain,83,75,a27,blood,86,20,55,false,No,h71,61,94,blood,29,No
p3,brain,83,75,a15,heart,60,75,23,true,No,h73,46,23,heart,63,No
p3,brain,83,75,a57,heart,91,13,62,true,No,h85,34,40,blood,60,No
p3,brain,83,75,a21,brain,37,15,75,true,No,h97,88,56,heart,19,No
p3,brain,83,75,a49,brain,21,10,89,true,No,h1,84,58,heart,17,No
p3,brain,83,75,a45,heart,67,21,56,false,No,h2,6,23,blood,92,No
p3,brain,83,75,a69,bones,92,44,32,true,No,h82,46,6,heart,78,No
p3,brain,83,75,a33,blood,58,95,32,true,No,h61,100,33,brain,45,No
p3,brain,83,75,a25,blood,61,59,27,true,No,h83,31,98,heart,56,No
p3,brain,83,75,a97,brain,8,93,77,true,No,h50,100,49,blood,31,No
p3,brain,83,75,a73,bones,17,2,98,true,No,h62,11,79,heart,72,No
p3,brain,83,75,a61,heart,69,6,70,true,No,h91,9,18,blood,93,No
p3,brain,83,75,a37,heart,87,47,28,true,No,h78,96,95,bones,23,No
p3,brain,83,75,a13,heart,28,6,88,true,No,h66,67,49,brain,30,No
p3,brain,83,75,a87,bones,5,89,79,true,No,h30,73,100,blood,26,No
p3,brain,83,75,a8,heart,36,100,53,true,No,h54,21,12,blood,88,No
p3,brain,83,75,a85,heart,94,20,56,true,No,h42,57,88,heart,29,No
p3,brain,83,75,a99,bones,33,27,69,true,No,h46,90,6,blood,69,No
p3,brain,83,75,a6,brain,31,56,55,true,No,h58,21,39,blood,71,No
p3,brain,83,75,a89,bones,30,31,68,true,No,h10,88,67,bones,9,No
p3,brain,83,75,a75,heart,4,63,79,true,No,h36,33,51,heart,55,No
p3,brain,83,75,a63,blood,7,5,103,true,No,h48,80,75,bones,3,No
p3,brain,83,75,a77,bones,28,51,60,true,No,h34,63,39,brain,41,No
p3,brain,83,75,a4,heart,15,61,69,true,No,h22,70,25,brain,51,No
p3,brain,83,75,a100,blood,25,7,89,true,No,h14,2,3,blood,108,No
p3,brain,83,75,a79,bones,49,50,42,true,No,h26,27,58,bones,58,No
p3,brain,83,75,a65,brain,67,75,16,true,No,h28,52,11,heart,71,No
p3,brain,83,75,a53,brain,45,75,38,true,No,h18,58,34,blood,48,No
p3,brain,83,75,a41,bones,8,81,75,true,No,h16,84,55,blood,20,No
p3,brain,83,75,a2,blood,81,80,5,true,No,h12,20,61,heart,64,No
p3,brain,83,75,a55,blood,55,82,28,true,No,h24,51,2,blood,79,No
p3,brain,83,75,a67,heart,29,54,57,true,No,h38,28,37,brain,66,No
p4,heart,28,93,a47,brain,81,56,64,true,No,h35,56,37,brain,62,No
p4,heart,28,93,a51,brain,53,8,88,true,No,h23,36,47,brain,46,No
p4,heart,28,93,a35,bones,79,5,101,true,No,h47,79,62,blood,59,No
p4,heart,28,93,a59,brain,2,44,55,true,No,h59,31,38,bones,55,No
p4,heart,28,93,a11,bones,64,48,57,true,No,h11,7,26,brain,70,No
p4,heart,28,93,a72,blood,69,13,89,true,No,h93,9,89,brain,19,No
p4,heart,28,93,a38,brain,71,75,46,false,No,h81,64,61,brain,48,No
p4,heart,28,93,a60,brain,70,40,67,true,No,h56,45,76,blood,24,No
p4,heart,28,93,a84,bones,75,31,77,true,No,h44,85,39,blood,78,No
p4,heart,28,93,a81,brain,33,84,10,true,No,h68,3,85,heart,26,No
p4,heart,28,93,a29,heart,14,29,65,true,No,h20,86,3,bones,107,No
p4,heart,28,93,a90,bones,86,18,94,true,No,h90,57,2,bones,95,No
p4,heart,28,93,a19,heart,35,60,33,true,No,h89,3,75,bones,30,No
p4,heart,28,93,a14,blood,3,97,25,true,No,h87,50,73,blood,29,No
p4,heart,28,93,a82,blood,38,84,13,true,No,h32,18,10,brain,83,No
p4,heart,28,93,a98,bones,58,37,63,true,No,h6,82,96,blood,54,No
p4,heart,28,93,a70,blood,90,18,97,true,No,h75,66,45,heart,61,No
p4,heart,28,93,a94,blood,24,60,33,true,No,h63,13,53,heart,42,No
p4,heart,28,93,a9,blood,45,1,93,true,No,h8,37,94,blood,9,No
p4,heart,28,93,a16,heart,7,40,57,true,No,h51,70,13,heart,90,No
p4,heart,28,93,a91,brain,28,41,52,true,No,h41,1,93,bones,27,No
p4,heart,28,93,a28,brain,7,22,74,true,No,h65,33,34,blood,59,No
p4,heart,28,93,a26,brain,55,12,85,true,No,h84,43,39,heart,56,No
p4,heart,28,93,a62,brain,41,64,31,true,No,h77,31,70,bones,23,No
p4,heart,28,93,a50,brain,36,28,65,true,No,h53,82,87,brain,54,No
p4,heart,28,93,a48,heart,42,3,91,true,No,h60,42,95,blood,14,No
p4,heart,28,93,a5,blood,96,5,111,true,No,h86,100,72,bones,75,No
p4,heart,28,93,a17,blood,22,28,65,true,No,h3,94,17,heart,100,No
p4,heart,28,93,a74,brain,4,34,63,true,No,h72,72,47,blood,63,No
p4,heart,28,93,a23,bones,84,33,82,true,No,h96,97,45,blood,84,No
p4,heart,28,93,a93,brain,33,100,8,true,No,h99,53,69,heart,34,No
p4,heart,28,93,a86,heart,49,83,23,true,No,h98,5,53,blood,46,No
p4,heart,28,93,a36,blood,91,81,64,true,No,h5,74,83,heart,47,No
p4,heart,28,93,a96,blood,29,39,54,true,No,h13,5,13,blood,83,No
p4,heart,28,93,a12,bones,28,20,73,true,No,h25,21,27,bones,66,No
p4,heart,28,93,a24,bones,10,4,90,true,No,h37,1,96,blood,27,No
p4,heart,28,93,a56,brain,62,68,42,true,No,h74,97,56,blood,78,No
p4,heart,28,93,a68,brain,17,5,88,true,No,h49,7,35,brain,61,No
p4,heart,28,93,a44,bones,15,46,48,true,No,h45,59,39,brain,62,No
p4,heart,28,93,a32,bones,22,25,68,true,No,h33,89,9,brain,103,No
p4,heart,28,93,a40,bones,29,90,3,true,No,h9,38,67,heart,27,No
p4,heart,28,93,a20,brain,90,2,110,true,No,h21,58,96,blood,30,No
p4,heart,28,93,a46,blood,10,36,59,true,No,h57,32,68,heart,25,No
p4,heart,28,93,a58,heart,74,9,95,true,No,h69,87,1,brain,109,No
